prolific_id,condition,view_history,rt,run_id,trial_type,trial_index,time_elapsed,device,success,timeout,failed_images,failed_audio,failed_video,stimulus,response,exemplar_name,exemplar_img,extension_left_img,extension_center_img,extension_right_img,question_order,slider_start
30,40,NA,11482,37,survey-text,13,78935,WebKit,NA,NA,NA,NA,NA,NA,"{""CurrentZipcode"":""501"",""ChildhoodZipcode"":""501""}",NA,NA,NA,NA,NA,NA,NA
30,40,NA,5379,37,survey-text,14,84315,WebKit,NA,NA,NA,NA,NA,NA,"{""FirstLanguage"":""English"",""AllLanguages"":""English""}",NA,NA,NA,NA,NA,NA,NA
30,40,NA,5480,37,html-slider-response,15,89796,WebKit,NA,NA,NA,NA,NA,<p>How would you describe the location <b>where you currently live</b>?</p>,11,NA,NA,NA,NA,NA,NA,50
30,40,NA,6141,37,html-slider-response,16,95938,WebKit,NA,NA,NA,NA,NA,"<p>How would you describe the location <b>where you grew up</b> (if multiple, choose the one that you spent the most time in before 18 years old)?</p>",9,NA,NA,NA,NA,NA,NA,50
30,40,"[{""page_index"":0,""viewing_time"":18832}]",18832,37,instructions,17,114771,WebKit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,19,"[{""page_index"":0,""viewing_time"":2074}]",2074,39,instructions,0,2075,WebKit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,19,NA,NA,39,fullscreen,1,4682,WebKit,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,19,"[{""page_index"":0,""viewing_time"":3080}]",3081,39,instructions,2,7763,WebKit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,19,NA,NA,39,preload,3,8419,WebKit,TRUE,FALSE,[],[],[],NA,NA,NA,NA,NA,NA,NA,NA,NA
193,19,NA,null,39,html-button-response,4,13423,WebKit,NA,NA,NA,NA,NA,"<p>This is a dax.</p> 
<img src=""red_crepe_snowman_exemplar.png"" height=""300"" width=""300""></img>",null,dax,red_crepe_snowman_exemplar.png,NA,NA,NA,NA,NA
193,19,NA,NA,39,preload,5,13424,WebKit,TRUE,FALSE,[],[],[],NA,NA,NA,NA,NA,NA,NA,NA,NA
193,19,NA,5463,39,html-button-response,6,18888,WebKit,NA,NA,NA,NA,NA,"<p>This is a dax.</p> 
<img src=""red_crepe_snowman_exemplar.png"" height=""300"" width=""300""></img>
<p>One of these is also a dax.</p>",2,NA,NA,red_foam_arch_extension.png,yellow_yarn_snowman_extension.png,blue_crepe_lamp_extension.png,NA,NA
193,19,NA,11241,39,survey-text,7,30137,WebKit,NA,NA,NA,NA,NA,NA,"{""extensionLeftImg_exemplar_commonalities"":""red color""}",NA,red_crepe_snowman_exemplar.png,red_foam_arch_extension.png,NA,NA,NA,NA
193,19,NA,5708,39,survey-text,8,35847,WebKit,NA,NA,NA,NA,NA,NA,"{""extensionCenterImg_exemplar_commonalities"":""shape""}",NA,red_crepe_snowman_exemplar.png,NA,yellow_yarn_snowman_extension.png,NA,NA,NA
193,19,NA,11515,39,survey-text,9,47364,WebKit,NA,NA,NA,NA,NA,NA,"{""extensionRightImg_exemplar_commonalities"":""material texture""}",NA,red_crepe_snowman_exemplar.png,NA,NA,blue_crepe_lamp_extension.png,NA,NA
193,19,"[{""page_index"":0,""viewing_time"":1870}]",1870,39,instructions,10,49235,WebKit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,19,NA,2842,39,survey-text,11,52079,WebKit,NA,NA,NA,NA,NA,NA,"{""Age"":""41""}",NA,NA,NA,NA,NA,NA,NA
