Age,School,Experiment,Example,Choice,AgeGroup,Location
23,2,Tsi_Adults_wDistractor,Lamp,Shape,Adults,Bolivia
18,7,Tsi_Adults_wDistractor,Snowman,Color,Adults,Bolivia
22,5,Tsi_Adults_wDistractor,Arch,Color,Adults,Bolivia
44,2,Tsi_Adults_wDistractor,Lamp,Color,Adults,Bolivia
21,4,Tsi_Adults_wDistractor,Lamp,Shape,Adults,Bolivia
22,3,Tsi_Adults_wDistractor,Arch,Shape,Adults,Bolivia
58,1,Tsi_Adults_wDistractor,Lamp,Material,Adults,Bolivia
34,2,Tsi_Adults_wDistractor,Arch,Color,Adults,Bolivia
37,2,Tsi_Adults_wDistractor,Lamp,Shape,Adults,Bolivia
28,1,Tsi_Adults_wDistractor,Arch,Material,Adults,Bolivia
73,0,Tsi_Adults_wDistractor,Arch,Shape,Adults,Bolivia
40,3,Tsi_Adults_wDistractor,Snowman,Material,Adults,Bolivia
25,0,Tsi_Adults_wDistractor,Lamp,Material,Adults,Bolivia
18,3,Tsi_Adults_wDistractor,Arch,Shape,Adults,Bolivia
40,5,Tsi_Adults_wDistractor,Snowman,Shape,Adults,Bolivia
22,0,Tsi_Adults_wDistractor,Arch,Shape,Adults,Bolivia
42,7,Tsi_Adults_wDistractor,Arch,Color,Adults,Bolivia
21,3,Tsi_Adults_wDistractor,Arch,Shape,Adults,Bolivia
30,4,Tsi_Adults_wDistractor,Lamp,Shape,Adults,Bolivia
18,5,Tsi_Adults_wDistractor,Snowman,Material,Adults,Bolivia
20,2,Tsi_Adults_wDistractor,Snowman,Material,Adults,Bolivia
58,1,Tsi_Adults_wDistractor,Lamp,Material,Adults,Bolivia
32,2,Tsi_Adults_wDistractor,Arch,Material,Adults,Bolivia
71,1,Tsi_Adults_wDistractor,Snowman,Shape,Adults,Bolivia
34,0,Tsi_Adults_wDistractor,Lamp,Material,Adults,Bolivia
32,0,Tsi_Adults_wDistractor,Arch,Color,Adults,Bolivia
28,0,Tsi_Adults_wDistractor,Snowman,Material,Adults,Bolivia
21,3,Tsi_Adults_wDistractor,Arch,Shape,Adults,Bolivia
24,3,Tsi_Adults_wDistractor,Lamp,Shape,Adults,Bolivia
33,5,Tsi_Adults_wDistractor,Lamp,Shape,Adults,Bolivia
34,0,Tsi_Adults_wDistractor,Snowman,Shape,Adults,Bolivia
18,6,Tsi_Adults_wDistractor,Arch,Color,Adults,Bolivia
19,3,Tsi_Adults_wDistractor,Arch,Material,Adults,Bolivia
35,0,Tsi_Adults_wDistractor,Lamp,Color,Adults,Bolivia
25,0,Tsi_Adults_wDistractor,Snowman,Shape,Adults,Bolivia
25,4,Tsi_Adults_wDistractor,Snowman,Distractor,Adults,Bolivia
23,3,Tsi_Adults_wDistractor,Arch,Material,Adults,Bolivia
55,0,Tsi_Adults_wDistractor,Lamp,Color,Adults,Bolivia
49,,US_Turk_Adults,Arch,Shape,Adults,US
20,,US_Turk_Adults,Arch,Shape,Adults,US
35,,US_Turk_Adults,Arch,Shape,Adults,US
25,,US_Turk_Adults,Arch,Shape,Adults,US
19,,US_Turk_Adults,Arch,Shape,Adults,US
19,,US_Turk_Adults,Arch,Shape,Adults,US
22,,US_Turk_Adults,Arch,Shape,Adults,US
33,,US_Turk_Adults,Arch,Shape,Adults,US
23,,US_Turk_Adults,Arch,Material,Adults,US
72,,US_Turk_Adults,Arch,Shape,Adults,US
21,,US_Turk_Adults,Arch,Shape,Adults,US
25,,US_Turk_Adults,Arch,Shape,Adults,US
26,,US_Turk_Adults,Arch,Shape,Adults,US
26,,US_Turk_Adults,Arch,Shape,Adults,US
25,,US_Turk_Adults,Arch,Shape,Adults,US
29,,US_Turk_Adults,Arch,Material,Adults,US
26,,US_Turk_Adults,Arch,Shape,Adults,US
23,,US_Turk_Adults,Arch,Shape,Adults,US
23,,US_Turk_Adults,Arch,Material,Adults,US
26,,US_Turk_Adults,Arch,Shape,Adults,US
46,,US_Turk_Adults,Arch,Shape,Adults,US
27,,US_Turk_Adults,Arch,Shape,Adults,US
30,,US_Turk_Adults,Arch,Material,Adults,US
31,,US_Turk_Adults,Arch,Shape,Adults,US
21,,US_Turk_Adults,Arch,Material,Adults,US
58,,US_Turk_Adults,Arch,Shape,Adults,US
27,,US_Turk_Adults,Arch,Shape,Adults,US
27,,US_Turk_Adults,Arch,Material,Adults,US
24,,US_Turk_Adults,Arch,Shape,Adults,US
27,,US_Turk_Adults,Arch,Shape,Adults,US
27,,US_Turk_Adults,Arch,Shape,Adults,US
23,,US_Turk_Adults,Arch,Material,Adults,US
24,,US_Turk_Adults,Arch,Material,Adults,US
34,,US_Turk_Adults,Arch,Shape,Adults,US
24,,US_Turk_Adults,Arch,Shape,Adults,US
35,,US_Turk_Adults,Arch,Shape,Adults,US
54,,US_Turk_Adults,Arch,Material,Adults,US
24,,US_Turk_Adults,Arch,Material,Adults,US
25,,US_Turk_Adults,Arch,Shape,Adults,US
26,,US_Turk_Adults,Arch,Material,Adults,US
29,,US_Turk_Adults,Arch,Shape,Adults,US
27,,US_Turk_Adults,Arch,Material,Adults,US
19,,US_Turk_Adults,Arch,Shape,Adults,US
25,,US_Turk_Adults,Arch,Shape,Adults,US
19,,US_Turk_Adults,Arch,Material,Adults,US
46,,US_Turk_Adults,Arch,Material,Adults,US
19,,US_Turk_Adults,Arch,Material,Adults,US
31,,US_Turk_Adults,Arch,Shape,Adults,US
32,,US_Turk_Adults,Snowman,Shape,Adults,US
48,,US_Turk_Adults,Snowman,Shape,Adults,US
30,,US_Turk_Adults,Snowman,Material,Adults,US
29,,US_Turk_Adults,Snowman,Material,Adults,US
26,,US_Turk_Adults,Snowman,Material,Adults,US
31,,US_Turk_Adults,Snowman,Shape,Adults,US
23,,US_Turk_Adults,Snowman,Shape,Adults,US
20,,US_Turk_Adults,Snowman,Material,Adults,US
25,,US_Turk_Adults,Snowman,Material,Adults,US
